Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
a-yun lin,54.6,252.5,57,IPF,2016-06-19,world classic powerlifting championships
abbey moon,55.78,185.0,57,IPF,2021-09-23,world classic powerlifting championships
abbey moon,57.66,197.5,63,IPF,2022-10-08,world masters classic & equipped powerlifting championships
abbi bosward-fielding,82.05,410.0,84,IPF,2024-10-05,world classic & equipped masters powerlifting championships
abby cooley,51.07,346.5,52,IPF,2024-07-23,fisu world university powerlifting championships
abby hall,61.38,365.0,63,IPF,2017-06-14,world classic powerlifting championships
abhirami m. v,81.93,405.0,84,IPF,2019-07-22,university powerlifting cup
abhirami s,83.38,380.0,84,IPF,2023-10-31,world university powerlifting cup
abi cronin,61.86,350.0,63,IPF,2017-06-14,world classic powerlifting championships
abi graham,61.51,410.0,63,IPF,2018-06-06,world classic powerlifting championships
abi houlihan,50.95,297.5,52,EPF,2021-12-03,european classic powerlifting championships
abi houlihan,56.35,315.0,57,IPF,2022-08-31,world junior classic powerlifting championships
abi-louise lane,113.6,342.5,84+,EPF,2018-11-24,european classic powerlifting championships
abigail england,57.46,272.5,63,IPF,2019-07-22,university powerlifting cup
abigail hanrahan-miller,56.14,364.0,57,IPF,2023-08-27,world junior and sub-junior classic championships
abigail hanrahan-miller,59.85,310.0,63,IPF,2022-08-31,world junior classic powerlifting championships
abigail looi,62.84,415.0,63,IPF,2018-06-06,world classic powerlifting championships
abigail maxon-stabile,55.94,280.0,57,IPF,2019-07-22,university powerlifting cup
abigail mclean,71.58,405.0,72,IPF,2018-06-06,world classic powerlifting championships
abigail mclean,82.6,432.5,84,EPF,2021-12-03,european classic powerlifting championships
abigail taylor-peckover,73.1,427.5,76,IPF,2023-08-27,world junior and sub-junior classic championships
abrienda chan,50.2,290.0,52,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
ada imola jucha,42.95,197.5,43,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
adejoke adetayo,56.35,462.5,57,IPF,2024-06-15,world classic powerlifting championships
adina hyková,60.5,246.5,63,EPF,2019-03-05,european masters classic championships
adriana holubová,56.74,305.0,57,IPF,2021-09-23,world classic powerlifting championships
adriana holubová,61.39,332.5,63,IPF,2023-10-31,world university powerlifting cup
adriana moreno mena,51.36,297.5,52,IPF,2016-06-19,world classic powerlifting championships
adriana pence,51.9,367.5,52,IPF,2024-10-05,world classic & equipped masters powerlifting championships
adrianna borowczyk,55.5,305.0,57,EPF,2019-11-29,european classic powerlifting championships
adél gyöngyösi,75.52,387.5,76,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
adéla pivoňková,62.86,340.0,63,EPF,2023-03-16,european classic university powerlifting cup
adéla čtveráková,67.35,297.5,69,EPF,2021-12-03,european classic powerlifting championships
adéla čtveráková,74.15,327.5,76,EPF,2022-11-25,european classic powerlifting championships
agata kaliciak,96.49,429.5,84+,EPF,2022-03-24,european university cup
agata markowska,54.5,330.0,57,IPF,2023-06-11,world classic powerlifting championships
agata niewdana,62.06,330.0,63,EPF,2023-02-28,european masters classic powerlifting championships
agata przybylska,56.48,347.5,57,IPF,2019-07-22,university powerlifting cup
