Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
abdul majeed sulayman,104.4,900.0,105,IPF,2023-03-25,sheffield powerlifting championships
abdulla mohamed ahmeed mohamed,103.55,902.5,105,IPF,2023-06-11,world classic powerlifting championships
adam duane,82.05,737.5,83,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
adam fulat,93.0,800.0,93,IPF,2022-09-23,arnold sports festival
adam jansson,82.6,780.0,83,IPF,2023-06-11,world classic powerlifting championships
adam jones #1,92.8,785.0,93,IPF,2023-06-11,world classic powerlifting championships
ade omisakin,73.75,723.0,74,EPF,2021-12-03,european classic powerlifting championships
ade omisakin,82.75,861.0,83,EPF,2024-09-13,western european powerlifting championships
ahmadreza babaahmadimilani,65.45,650.0,66,IPF,2022-06-06,world classic powerlifting championships
aiden roeder,92.25,760.0,93,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
aimar kuusnõmm,82.5,727.5,83,EPF,2018-11-24,european classic powerlifting championships
aitor lapena gutierrez,103.95,792.5,105,IPF,2019-06-04,world classic powerlifting championships
akito hirayama,59.0,567.5,59,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
alan baron,103.7,797.5,105,EPF,2024-09-13,western european powerlifting championships
alberto herraiz francés,65.22,617.5,66,IPF,2021-09-23,world classic powerlifting championships
alberto herraiz francés,73.8,715.0,74,EPF,2024-03-12,european open classic powerlifting championships
aleksandr usynin,92.98,760.0,93,IPF,2019-07-22,university powerlifting cup
aleksey kudryavtsev,118.55,887.5,120,IPF,2014-06-01,world classic powerlifting championships
alessandro messina,82.05,757.5,83,IPF,2024-06-15,world classic powerlifting championships
alex sydor,83.0,727.5,83,IPF,2023-08-27,world junior and sub-junior classic championships
alex-edward raus,104.6,852.5,105,IPF,2014-06-01,world classic powerlifting championships
alexander eriksson #1,65.55,687.5,66,IPF,2024-06-15,world classic powerlifting championships
alexander eriksson #1,73.5,740.0,74,IPF,2023-06-11,world classic powerlifting championships
alexander karpenko,92.25,757.5,93,IPF,2012-06-12,world classic powerlifting cup
alexander kolbin,58.62,602.5,59,IPF,2015-06-05,world classic powerlifting championships
alexander kolbin,65.41,640.0,66,IPF,2017-06-14,world classic powerlifting championships
alexander wei rui ang,92.0,772.5,93,IPF,2023-08-27,world junior and sub-junior classic championships
alexander örn kárason,92.84,780.0,93,EPF,2024-03-12,european open classic powerlifting championships
alexandr kuramshin,65.66,610.0,66,IPF,2015-06-05,world classic powerlifting championships
alexandre ouellet-hébert,92.7,780.0,93,IPF,2019-06-04,world classic powerlifting championships
alexei laurenz agabon,58.6,565.0,59,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
alexey kuzmin,82.58,787.5,83,IPF,2017-06-14,world classic powerlifting championships
alexey zinurov,93.0,790.0,93,IPF,2021-09-23,world classic powerlifting championships
alfredo orsini,104.6,805.0,105,IPF,2024-06-15,world classic powerlifting championships
ali ben hadj ali,102.92,845.0,105,EPF,2017-03-12,european classic powerlifting championships
ali ben hadj ali,92.76,790.0,93,IPF,2016-06-19,world classic powerlifting championships
aliaksandr hrynkevich-sudnik,73.76,730.0,74,IPF,2016-06-19,world classic powerlifting championships
alireza rezaei,104.75,810.0,105,IPF,2023-06-11,world classic powerlifting championships
aloy iwunze,103.16,791.5,105,EPF,2024-03-01,european university cup
amandas paulauskas,118.75,907.5,120,EPF,2018-11-24,european classic powerlifting championships
amar kanane,92.65,832.5,93,IPF,2022-06-06,world classic powerlifting championships
anatolii novopismennyi,104.7,940.5,105,IPF,2024-06-15,world classic powerlifting championships
anatolii novopismennyi,92.95,853.5,93,EPF,2019-11-29,european classic powerlifting championships
anders broeten lillemoe,119.9,837.5,120,EPF,2023-12-04,european open classic powerlifting championships
anders nguyen,65.6,608.0,66,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
anderson de paula alcantara,65.67,600.5,66,IPF,2018-06-06,world classic powerlifting championships
andrea cicero,92.9,807.5,93,IPF,2024-06-15,world classic powerlifting championships
andrea orlandi #1,82.88,770.5,83,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
andrea salaris,65.7,605.0,66,IPF,2024-06-15,world classic powerlifting championships
andreas hjelmtveit,103.6,807.5,105,IPF,2014-06-01,world classic powerlifting championships
andreas nilsson #1,82.66,740.0,83,EPF,2023-03-16,european classic university powerlifting cup
andreas reiz,116.1,837.5,120,EPF,2018-11-24,european classic powerlifting championships
andres castellon,104.26,802.5,105,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
