Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
adejoke adetayo,56.35,462.5,57,IPF,2024-06-15,world classic powerlifting championships
agata sitko,68.9,600.0,69,IPF,2024-02-10,sheffield powerlifting championships
agata sitko,75.3,613.0,76,IPF,2024-06-15,world classic powerlifting championships
agata sitko,77.85,582.5,84,IPF,2022-08-31,world junior classic powerlifting championships
agnes rudin,75.34,527.5,76,EPF,2023-10-10,european junior and sub-junior classic powerlifting championships
alba boström,62.85,554.0,63,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
aleksandra aranitovic,51.9,425.0,52,IPF,2023-06-11,world classic powerlifting championships
alessandra cernigliaro,56.65,460.0,57,IPF,2024-06-15,world classic powerlifting championships
alexis jones #1,134.8,704.5,84+,IPF,2024-06-15,world classic powerlifting championships
alhanouf altamimi,46.55,377.5,47,IPF,2024-06-15,world classic powerlifting championships
alison huet,51.65,412.5,52,IPF,2024-06-15,world classic powerlifting championships
amanda lawrence #1,83.51,647.0,84,IPF,2024-02-10,sheffield powerlifting championships
amélie mierger,135.0,651.5,84+,IPF,2024-06-15,world classic powerlifting championships
ana rosa castellain,68.68,515.0,69,IPF,2021-09-23,world classic powerlifting championships
andorina bouchoux,68.95,532.5,69,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
andrea riley,52.0,412.5,52,IPF,2021-09-23,world classic powerlifting championships
andrea riley,56.95,452.5,57,IPF,2023-06-11,world classic powerlifting championships
anežka miková,46.55,365.0,47,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
angelina elovikova,81.38,557.5,84,IPF,2021-09-23,world classic powerlifting championships
angelina martinez,62.35,495.0,63,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
annalisa motta,46.1,387.5,47,IPF,2024-06-15,world classic powerlifting championships
annie nelson,68.9,545.0,69,IPF,2024-06-15,world classic powerlifting championships
aurélie nguyen,46.75,407.5,47,IPF,2023-06-11,world classic powerlifting championships
betty aborah,62.26,508.0,63,EPF,2024-10-05,european classic sub-junior and junior powerlifting championships
bobbie butters,56.6,492.5,57,IPF,2024-06-15,world classic powerlifting championships
bobbie butters,58.92,480.0,63,IPF,2022-09-23,arnold sports festival
bonica brown,141.0,680.0,84+,IPF,2023-03-25,sheffield powerlifting championships
brittany schlater,126.56,710.0,84+,IPF,2024-02-10,sheffield powerlifting championships
caitlin baxter,57.0,447.5,57,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
camille hadrys,52.0,427.5,52,EPF,2024-03-12,european open classic powerlifting championships
carola garra,62.9,557.5,63,IPF,2023-06-11,world classic powerlifting championships
carola garra,67.6,577.5,69,IPF,2024-06-15,world classic powerlifting championships
carolyn connor,68.7,520.0,69,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
catherine gagné,51.25,417.5,52,IPF,2024-06-15,world classic powerlifting championships
chandler babb,68.25,535.0,69,IPF,2022-06-06,world classic powerlifting championships
chelsea savit,68.9,530.0,69,IPF,2023-06-11,world classic powerlifting championships
chiara bernardi,62.55,540.0,63,IPF,2024-06-15,world classic powerlifting championships
clara isabelle häberer,62.25,497.5,63,IPF,2024-06-15,world classic powerlifting championships
clara peyraud,68.48,540.0,69,EPF,2023-12-04,european open classic powerlifting championships
clara peyraud,73.8,555.0,76,IPF,2024-06-15,world classic powerlifting championships
cranon worford,76.0,585.0,76,IPF,2024-06-15,world classic powerlifting championships
daana parra,75.5,535.0,76,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
dalida mari,46.9,380.0,47,IPF,2024-06-15,world classic powerlifting championships
daniella melo,83.55,613.0,84,IPF,2019-06-04,world classic powerlifting championships
danielle philibert,81.85,555.0,84,IPF,2024-06-15,world classic powerlifting championships
