Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
aaron burch,51.94,472.5,53,IPF,2013-08-27,world juniors & sub-juniors championships
aaron gonzalez,92.69,850.0,93,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
aaron phillips #2,73.0,717.5,74,IPF,2015-11-09,world powerlifting championships
aaron ziffle,92.85,810.0,93,IPF,2018-11-05,world powerlifting championships
ab wolders,115.53,740.5,120,IPF,2014-09-21,world masters powerlifting championships
abbas al-abedi,102.25,662.5,105,IPF,2021-08-23,world juniors sub-juniors & masters championships
abbas al-sarray,72.6,597.5,74,IPF,2021-08-23,world juniors sub-juniors & masters championships
abbas pordel,117.1,642.5,120,IPF,2024-10-05,world classic & equipped masters powerlifting championships
abdelaziz aliouate,82.66,720.0,83,IPF,2011-09-26,world masters powerlifting championships
abdukarim tulegenov,81.27,770.0,83,IPF,2017-11-13,world powerlifting championships
abdul-tawab durani,103.8,860.0,105,IPF,2016-09-03,world sub-juniors & juniors powerlifting championships
abed eljabbar skaik,82.4,580.0,83,IPF,2022-08-27,world junior equipped powerlifting championships
abel chimaro,58.8,550.0,59,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
adam engsig karsoe,103.35,777.5,105,EPF,2023-05-02,european equipped powerlifting championships
adam jasiński,73.53,582.5,74,EPF,2014-07-08,european masters powerlifting championships
adam macdonald,124.19,597.5,120+,IPF,2011-08-30,world sub-juniors & juniors powerlifting championships
adam nash,159.26,940.0,120+,IPF,2011-11-08,world powerlifting championships
adam porteš,98.88,815.0,105,EPF,2019-05-04,european equipped powerlifting championships
adam ramzy,81.28,917.5,83,IPF,2017-07-24,world games
adam slabinski,50.62,345.0,53,EPF,2013-04-09,european sub-juniors & juniors powerlifting championships
adarsh bharath attavar,58.58,612.5,59,IPF,2023-08-24,world junior and sub-junior equipped championships
adiyatumur enkhbaatar,87.75,795.0,93,IPF,2023-11-13,world open equipped powerlifting championships
adlet anuarov,52.84,462.5,53,IPF,2015-08-31,world sub-juniors & juniors powerlifting championships
adrian guaquin,78.53,770.0,83,IPF,2017-11-13,world powerlifting championships
adrian kieblesz,82.14,600.0,83,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
adrian locke,102.69,890.0,105,IPF,2019-11-18,world powerlifting championships
adrian mcghee,58.72,340.0,59,IPF,2015-11-09,world powerlifting championships
adrian mcghee,62.3,362.5,66,IPF,2024-11-11,world open equipped powerlifting championships
adrian perhac,65.3,620.0,66,IPF,2016-09-03,world sub-juniors & juniors powerlifting championships
adrian smith #4,91.4,700.0,93,IPF,2018-09-03,world juniors & sub-juniors championships
adrian stiskal,72.83,480.0,74,EPF,2024-05-07,european open junior and sub-junior equipped powerlifting championships
adrian zuñiga,65.5,540.0,66,IPF,2014-11-03,world powerlifting championships
adrian świerczyński,91.8,682.5,93,IPF,2016-09-03,world sub-juniors & juniors powerlifting championships
adrien poinson,72.7,765.0,74,IPF,2014-09-01,world sub-juniors & juniors powerlifting championships
adrián manzanares herrero,64.9,475.0,66,EPF,2016-04-14,european sub-juniors & juniors championships
adrián solana guerrero,91.62,702.5,93,EPF,2016-04-14,european sub-juniors & juniors championships
aftab uddin,65.66,577.5,66,EPF,2024-05-07,european open junior and sub-junior equipped powerlifting championships
agoston flekacs,92.3,612.5,93,IPF,2014-09-01,world sub-juniors & juniors powerlifting championships
agris reppo,81.49,600.0,83,EPF,2017-05-08,european equipped powerlifting championships
agris reppo,91.45,722.5,93,EPF,2019-05-04,european equipped powerlifting championships
ahmed hassanin,190.25,1115.0,105+,IPF,2022-07-08,world games
ahmed hassanin,186.8,1085.0,120+,IPF,2021-11-08,world powerlifting championships
ahmet gurbanov,82.03,670.0,83,IPF,2012-11-10,world powerlifting championships
ahti prits,73.61,430.0,74,EPF,2014-07-08,european masters powerlifting championships
aibar sapakov,115.5,715.0,120,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
aidyn yelemessov,63.4,367.5,66,IPF,2023-10-08,world masters classic & equipped powerlifting championships
aimar kuusnõmm,72.99,740.0,74,EPF,2013-04-09,european sub-juniors & juniors powerlifting championships
aitas ospanov,56.9,497.5,59,IPF,2022-08-27,world junior equipped powerlifting championships
akbari mehrdad,98.0,775.0,105,IPF,2021-11-08,world powerlifting championships
akihiro nakane,71.38,550.0,74,IPF,2017-10-01,world masters powerlifting championships
akinori yasukura,73.64,530.0,74,IPF,2012-10-02,world masters powerlifting championships
aksel stavheim,86.56,730.0,93,EPF,2022-09-09,western european powerlifting championships
akzhol alymbek uulu,52.92,475.0,53,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
akzhol alymbek uulu,58.99,680.0,59,IPF,2017-08-28,world sub-juniors & juniors powerlifting championships
alain cuvelier,64.82,485.0,66,IPF,2011-09-26,world masters powerlifting championships
alan block,134.0,827.5,120+,IPF,2011-09-26,world masters powerlifting championships
alan krockover,103.25,735.0,105,IPF,2019-10-07,world masters powerlifting championships
alan krockover,105.75,750.0,120,IPF,2016-10-03,world masters championships
alan peeters,103.4,857.5,105,IPF,2016-09-03,world sub-juniors & juniors powerlifting championships
alan peeters,92.9,767.5,93,EPF,2015-04-07,european sub-junior & junior powerlifting championships
alan tepper,80.9,560.0,83,IPF,2015-09-28,world masters powerlifting championships
albert ruta,123.99,595.0,120+,EPF,2018-05-06,european men's championships
albert stankevich,52.5,335.0,53,IPF,2016-09-03,world sub-juniors & juniors powerlifting championships
albert stepanjan,82.14,375.0,83,EPF,2011-07-05,european masters powerlifting championships
albertas motiečius,65.4,510.0,66,EPF,2015-04-07,european sub-junior & junior powerlifting championships
albertas motiečius,72.12,615.0,74,EPF,2017-05-08,european equipped powerlifting championships
albian ramaj,74.95,420.0,83,EPF,2016-04-14,european sub-juniors & juniors championships
ale cambray orrason,92.49,787.5,93,EPF,2021-08-03,european open juniors & sub-juniors powerlifting championships
aleander huber,92.59,875.0,93,EPF,2017-05-08,european equipped powerlifting championships
aleandru cataramba,131.08,760.0,120+,EPF,2021-08-03,european open juniors & sub-juniors powerlifting championships
aleksander deltsov,91.9,613.0,93,IPF,2018-10-02,world masters powerlifting championships
aleksander petrov,58.79,547.5,59,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
aleksandr kuzmin,119.35,915.0,120,IPF,2021-08-23,world juniors sub-juniors & masters championships
aleksandr ognevoy,155.5,655.0,120+,IPF,2014-09-01,world sub-juniors & juniors powerlifting championships
aleksandr sergeev #8,82.88,820.0,83,IPF,2015-08-31,world sub-juniors & juniors powerlifting championships
aleksandr volkov,119.11,830.0,120,EPF,2012-07-17,european masters powerlifting championships
aleksandrs grigorjevs,121.67,915.0,120+,EPF,2016-09-23,arnold's europe powerlifting championships
aleksei agafoshin,91.99,860.0,93,EPF,2019-05-04,european equipped powerlifting championships
aleksei bakhirev,72.75,630.0,74,IPF,2021-08-23,world juniors sub-juniors & masters championships
aleksei ezhov,52.5,345.0,53,IPF,2019-08-26,world juniors & sub-juniors championships
aleksei rikhter,65.85,687.5,66,IPF,2021-08-23,world juniors sub-juniors & masters championships
aleksei zhuravskii,94.35,797.5,105,EPF,2019-05-04,european equipped powerlifting championships
aleksey bilinets,127.27,975.0,120+,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
aleksey fokin,115.14,1055.0,120,EPF,2015-05-06,european open men's championships
aleksey kudryavtsev,112.18,995.0,120,IPF,2011-08-30,world sub-juniors & juniors powerlifting championships
