Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
aaron thompson #1,178.3,932.5,120+,EPF,2023-12-04,european open classic powerlifting championships
abdul majeed sulayman,104.4,900.0,105,IPF,2023-03-25,sheffield powerlifting championships
abdulla mohamed ahmeed mohamed,103.55,902.5,105,IPF,2023-06-11,world classic powerlifting championships
abdulrahman mousa,165.5,965.0,120+,IPF,2023-06-11,world classic powerlifting championships
adam fulat,93.0,800.0,93,IPF,2022-09-23,arnold sports festival
adam jansson,82.6,780.0,83,IPF,2023-06-11,world classic powerlifting championships
adam jones #1,92.8,785.0,93,IPF,2023-06-11,world classic powerlifting championships
ade omisakin,73.75,723.0,74,EPF,2021-12-03,european classic powerlifting championships
ade omisakin,82.75,861.0,83,EPF,2024-09-13,western european powerlifting championships
adrien poinson,73.27,693.0,74,IPF,2015-06-05,world classic powerlifting championships
ahmadreza babaahmadimilani,65.45,650.0,66,IPF,2022-06-06,world classic powerlifting championships
akito hirayama,59.0,567.5,59,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
alberto herraiz francés,73.8,715.0,74,EPF,2024-03-12,european open classic powerlifting championships
aleksey kudryavtsev,118.55,887.5,120,IPF,2014-06-01,world classic powerlifting championships
alessandro messina,82.05,757.5,83,IPF,2024-06-15,world classic powerlifting championships
alessandro pastorello,73.25,700.0,74,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
alex-edward raus,104.6,852.5,105,IPF,2014-06-01,world classic powerlifting championships
alexander eriksson #1,65.55,687.5,66,IPF,2024-06-15,world classic powerlifting championships
alexander eriksson #1,73.5,740.0,74,IPF,2023-06-11,world classic powerlifting championships
alexander kolbin,58.62,602.5,59,IPF,2015-06-05,world classic powerlifting championships
alexander kolbin,65.41,640.0,66,IPF,2017-06-14,world classic powerlifting championships
alexander renner,150.5,943.0,120+,IPF,2024-07-23,fisu world university powerlifting championships
alexander örn kárason,92.84,780.0,93,EPF,2024-03-12,european open classic powerlifting championships
alexandre ouellet-hébert,92.7,780.0,93,IPF,2019-06-04,world classic powerlifting championships
alexei laurenz agabon,58.6,565.0,59,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
alexey kuzmin,82.58,787.5,83,IPF,2017-06-14,world classic powerlifting championships
alexey zinurov,93.0,790.0,93,IPF,2021-09-23,world classic powerlifting championships
ali ben hadj ali,102.92,845.0,105,EPF,2017-03-12,european classic powerlifting championships
ali ben hadj ali,92.76,790.0,93,IPF,2016-06-19,world classic powerlifting championships
aliaksandr hrynkevich-sudnik,73.76,730.0,74,IPF,2016-06-19,world classic powerlifting championships
allan duong dinh hy,52.25,496.5,53,IPF,2024-08-28,world junior and sub-juniors powerlifting championships
