Name,BodyweightKg,TotalKg,WeightClassKg,Federation,Date,MeetName
adam ramzy,81.28,917.5,83,IPF,2017-07-24,world games
adrien poinson,72.7,765.0,74,IPF,2014-09-01,world sub-juniors & juniors powerlifting championships
ahmed hassanin,186.8,1085.0,120+,IPF,2021-11-08,world powerlifting championships
akzhol alymbek uulu,58.99,680.0,59,IPF,2017-08-28,world sub-juniors & juniors powerlifting championships
aleksandr sergeev #8,82.88,820.0,83,IPF,2015-08-31,world sub-juniors & juniors powerlifting championships
aleksey fokin,115.14,1055.0,120,EPF,2015-05-06,european open men's championships
aleksey kudryavtsev,112.18,995.0,120,IPF,2011-08-30,world sub-juniors & juniors powerlifting championships
alex ochoa #1,65.99,732.5,66,IPF,2016-11-14,world open championships
alex ochoa #1,73.75,847.5,74,IPF,2024-11-11,world open equipped powerlifting championships
alex ochoa #1,76.95,850.0,83,IPF,2022-07-08,world games
alex-edward raus,104.85,992.5,105,EPF,2014-04-09,european sub-juniors & juniors championships
alexander eriksson #1,65.9,802.5,66,IPF,2024-11-11,world open equipped powerlifting championships
alexander eriksson #1,73.8,868.0,74,IPF,2018-11-05,world powerlifting championships
alexander huber,82.8,852.5,83,EPF,2023-05-02,european equipped powerlifting championships
alexander huber,91.69,910.0,93,EPF,2018-05-06,european men's championships
alexander kirketeig,92.83,895.0,93,EPF,2015-05-06,european open men's championships
alexander kolbin,59.0,670.0,59,EPF,2015-05-06,european open men's championships
alexander kolbin,64.45,715.0,66,EPF,2014-05-07,european open powerlifting championships
alexander molin,65.92,757.5,66,EPF,2013-05-07,european open powerlifting championships
alexander shipshin,65.86,695.0,66,IPF,2013-08-27,world juniors & sub-juniors championships
alexey sorokin,82.71,930.0,83,EPF,2017-05-08,european equipped powerlifting championships
alexis maher,73.3,847.5,74,IPF,2024-11-11,world open equipped powerlifting championships
alexis maher,77.45,837.5,83,IPF,2022-07-08,world games
allan grenier,104.93,1000.0,105,EPF,2019-05-04,european equipped powerlifting championships
allan grenier,106.1,1025.0,120,IPF,2021-11-08,world powerlifting championships
amandas paulauskas,116.41,1055.0,120,IPF,2011-11-08,world powerlifting championships
anatolii goriachok,73.05,825.0,74,EPF,2014-05-07,european open powerlifting championships
andre gholson,118.54,962.5,120,IPF,2015-09-28,world masters powerlifting championships
andreas hjelmtveit,110.95,1005.0,120,IPF,2015-11-09,world powerlifting championships
andrey drachev,119.55,1072.5,120,IPF,2011-11-08,world powerlifting championships
andrey inin,104.42,937.5,105,EPF,2013-04-09,european sub-juniors & juniors powerlifting championships
andrey konovalov #1,161.4,1227.5,120+,IPF,2018-11-05,world powerlifting championships
andrey kostenko,63.29,710.0,66,IPF,2011-08-30,world sub-juniors & juniors powerlifting championships
andrey prokopenko,73.59,882.5,74,IPF,2017-11-13,world powerlifting championships
andrey prokopenko,74.37,867.5,83,IPF,2017-07-24,world games
andrey shurbenkov,104.82,1010.0,105,EPF,2011-05-03,european powerlifting championships
andrey shurbenkov,115.1,1022.5,120,EPF,2014-05-07,european open powerlifting championships
andrii shevchenko,154.35,1147.5,120+,IPF,2024-11-11,world open equipped powerlifting championships
andriy naniev,82.58,940.0,83,IPF,2015-11-09,world powerlifting championships
anibal manuel coimbra marques,104.39,1047.5,105,IPF,2012-11-10,world powerlifting championships
anton karachentsev,65.8,715.0,66,EPF,2013-05-07,european open powerlifting championships
anton pravnik,91.2,907.5,93,EPF,2016-05-11,european powerlifting championships
antoni mastrolorenzo,73.58,790.0,74,EPF,2018-05-06,european men's championships
antti savolainen,65.65,775.0,66,IPF,2018-11-05,world powerlifting championships
arkadiy shalokha,73.18,815.0,74,EPF,2011-05-03,european powerlifting championships
artem litvinenko,137.09,1087.5,120+,EPF,2018-05-06,european men's championships
artem pantelieiev,82.25,822.5,83,EPF,2013-04-09,european sub-juniors & juniors powerlifting championships
artem platonov,81.83,800.0,83,IPF,2012-08-28,world sub-juniors & juniors powerlifting championships
artem puzirnikov,82.7,872.5,83,EPF,2011-06-11,european junior & sub-junior powerlifting championships
asgeir hoel,104.6,1022.5,105,IPF,2024-11-11,world open equipped powerlifting championships
auðunn jónsson,119.82,962.5,120,IPF,2014-11-03,world powerlifting championships
blaine sumner,175.7,1275.5,120+,IPF,2019-11-18,world powerlifting championships
blake lehew,73.4,815.0,74,IPF,2016-09-03,world sub-juniors & juniors powerlifting championships
borislav borisov,80.6,797.5,83,EPF,2014-05-07,european open powerlifting championships
brett gibbs,82.5,873.0,83,IPF,2014-09-01,world sub-juniors & juniors powerlifting championships
bryce krawczyk,104.75,985.5,105,IPF,2017-11-13,world powerlifting championships
bryce krawczyk,115.88,1030.0,120,IPF,2019-11-18,world powerlifting championships
